file	sha256	bytes	first_capture	last_capture	capture_count	urls
RoomzMain.swf	61c728f54f9552744edc19f22b152a7ed89854b45891316957eaeaf763d4add9	11034	20070206062346	20070206062346	1	http://www.theroomz.yoyo.pl:80/RoomzMain.swf
RoomzMain.swf	d7dd1d01587d2857d5bb67cc7b94c0ab6f9fc18b53d66cd81f2b849606ea32e1	10995	20110930161009	20130621121228	2	http://www.theroomz.yoyo.pl/RoomzMain.swf
