term	file	context
/this/lesson.htm	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	.pl:80/paper/ this-root.html 20071128034207 http://www.theroomz.yoyo.pl:80/this/ 376 a733ad6f1a509ee243510273f92884c2532fe0cfd82b1a36ec4dedbe526ddfa7 https://web.archive.org/web/20071128034207id_/http://www.theroomz.yoyo.pl:80/this/ this-lesson-2007.html 20071129231525 http://www.theroomz.yoyo.pl:80/this/lesson.htm 527 b77613cf2d00591b7edff1c3f4336a1666ebd993e071d9f5dda7d2580c910ac0 https://web.archive.org/web/20071129231525id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm this-lesson-2008.html 20080204150434 http://www.theroomz.yoyo.pl:80/this/lesson.htm 297 399fb2d5e9b0ef84683209df747a35a990e325898ae439873f27c7d0347971fe https://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149af
/this/lesson.htm	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	archive.org/web/20071128034207id_/http://www.theroomz.yoyo.pl:80/this/ this-lesson-2007.html 20071129231525 http://www.theroomz.yoyo.pl:80/this/lesson.htm 527 b77613cf2d00591b7edff1c3f4336a1666ebd993e071d9f5dda7d2580c910ac0 https://web.archive.org/web/20071129231525id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm this-lesson-2008.html 20080204150434 http://www.theroomz.yoyo.pl:80/this/lesson.htm 297 399fb2d5e9b0ef84683209df747a35a990e325898ae439873f27c7d0347971fe https://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 
/this/lesson.htm	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	007.html 20071129231525 http://www.theroomz.yoyo.pl:80/this/lesson.htm 527 b77613cf2d00591b7edff1c3f4336a1666ebd993e071d9f5dda7d2580c910ac0 https://web.archive.org/web/20071129231525id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm this-lesson-2008.html 20080204150434 http://www.theroomz.yoyo.pl:80/this/lesson.htm 297 399fb2d5e9b0ef84683209df747a35a990e325898ae439873f27c7d0347971fe https://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e464
/this/lesson.htm	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	g/web/20071129231525id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm this-lesson-2008.html 20080204150434 http://www.theroomz.yoyo.pl:80/this/lesson.htm 297 399fb2d5e9b0ef84683209df747a35a990e325898ae439873f27c7d0347971fe https://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20071018092116id_/http://www.theroomz.yoyo.pl:80/yoyo.pnq hof-20080502.html 20080502181650 http://www.theroomz.
BlackAndWhite.swf	research/newly-recovered/yoyo-obscure-paths/RESULT.md	=token%> - `danger-map.html` -> http://www.theroomz.yoyo.pl - `danger-map.html` -> http://www.theroomz.yoyo.pl/info/ - `danger-map.html` -> http://www.theroomz.yoyo.pl/ - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> h
hof.swf	research/newly-recovered/yoyo-obscure-paths/RESULT.md	://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.swf - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/high - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.htm#000000 - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/female.jpg - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/male.jpg - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/sameDomain - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/Redirect.swf - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/high - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/ro
Redirect.swf	research/newly-recovered/yoyo-obscure-paths/RESULT.md	html` -> http://www.theroomz.yoyo.pl:80/hof.htm#000000 - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/female.jpg - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/male.jpg - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/sameDomain - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/Redirect.swf - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/high - `roomz-2012.html` -> http://www.theroomz.yoyo.pl/roomz.htm#000000 - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/AC_RunActiveContent.js - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/sameDomain - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/false - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/RRR.swf - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/high - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/rrr.htm#000000 ## Context c
cannon.txt	research/newly-recovered/yoyo-obscure-paths/RESULT.md	"html` -> http://www.theroomz.yoyo.pl/sameDomain - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/false - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/RRR.swf - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/high - `rrr-2012.html` -> http://www.theroomz.yoyo.pl/rrr.htm#000000 ## Context clues - `cannon.txt`: CBAKVVASXKF......LFFS.HAJPJ.VND........VQZV.N.IDHSAUJ.U.BZXVPQI.R.DNZVSHA.C.DOGEHXB...APOEZMNBNAWJHD hint: you should download that file or copy it to your own notepad. don't miss any detail! square? - `danger-root.html`: button,html input[type=""button""],input[type=""reset""],input[type=""submit""]{-webkit-appearance:button;cursor:pointer;*overflow:visible;}button[disabled],html input[disabled]{cursor:default;}input[type=""checkbox""],input[type=""radio""]{box-sizing:border-box;padding:0;*height:13px"
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/RESULT.md	eroomz.yoyo.pl:80/paper/sameDomain - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.swf - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/high - `hof-20080502.html` -> http://www
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/RESULT.md	://www.theroomz.yoyo.pl:80/paper/BlackAndWhite.swf - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/high - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/paper/#ffffff - `paper-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-root.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `this-lesson-2007.html` -> http://www.theroomz.yoyo.pl:80/yoyo.pnq - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/AC_RunActiveContent.js - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/sameDomain - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/false - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.swf - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/high - `hof-20080502.html` -> http://www.theroomz.yoyo.pl:80/hof.htm#000000 - `hof-20080502.html` -> h
