label	path	bytes	sha256	signature	printable_strings	asset_url_tokens	semantic_strings
2006-10-26	research/freehost-era/recovered/20061026205422__4593da9c40a6__RoomzMain.swf	11204	4593da9c40a69d5ecee5cbec994103dbbd3401d1309474dd2a6b72f627e3f97b	CWS	377	4	5
2006-10-28	research/freehost-era/recovered/20061028171955__9cf314a10519__RoomzMain.swf	11134	9cf314a105199ecd937f5bfe68528c5a29b11a599ddd11b6217d315771cff939	CWS	374	3	4
2006-11-11	research/freehost-era/recovered/20061111092143__69d526b7669b__RoomzMain.swf	11147	69d526b7669b32284577b6efb3187be560c577974bb0c9232477341e9c513e41	CWS	376	4	6
2007-yoyo	originals/recovered/yoyo/RoomzMain_2007.swf	11034	61c728f54f9552744edc19f22b152a7ed89854b45891316957eaeaf763d4add9	CWS	379	5	9
2011-yoyo	originals/recovered/yoyo/RoomzMain_2011.swf	10995	d7dd1d01587d2857d5bb67cc7b94c0ab6f9fc18b53d66cd81f2b849606ea32e1	CWS	373	4	8
