stage	target	timestamp	error
cdx	http://dreamward.home.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamwardgames.com/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamwardgames.com:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamwardgames.com/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamwardgames.com/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamwardgames.com/CHECK.SWF		"RuntimeError(""URLError(TimeoutError('_ssl.c:983: The handshake operation timed out'))"")"
cdx	http://dreamward.home.pl/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl/theroomz/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamward.home.pl:80/theroomz/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamward.home.pl/theroomz/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamward.home.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamward.home.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamward.home.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.dreamward.home.pl/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.dreamward.home.pl/theroomz/check.swf		"RuntimeError(""URLError(TimeoutError('_ssl.c:983: The handshake operation timed out'))"")"
cdx	http://www.dreamward.home.pl/theroomz/Check.swf		"RuntimeError(""URLError(TimeoutError('_ssl.c:983: The handshake operation timed out'))"")"
cdx	http://www.dreamward.home.pl:80/theroomz/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
