stage	crawl	query_url	error
query	CC-MAIN-2015-06	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-06	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-06	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-06	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-06	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-06	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	www.theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2015-48	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	www.theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-07	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	www.theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2016-50	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
