stage	target	error
wildcard-cdx	*.imageshack.us/*theroomz0707ih0.swf*	JSONDecodeError('Expecting value: line 1834214 column 1 (char 257165984)')
wildcard-cdx	*.imageshack.us/*theroomz*.swf*	JSONDecodeError('Expecting value: line 4029411 column 1 (char 553121164)')
