timestamp	original	mimetype	bytes	sha256	file	final_url
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	1890	326006a09afd8a8fecb00c0dc12ce8e747e6c9ee12c5ee4aea79e9df3789f943	20070212145101__326006a09afd.html	https://web.archive.org/web/20070212145101id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2254	eba64f669c7cb0ef8d39e5a16eaf544278d8ad47ce0f083707b1b3035f1f01ba	20070220112512__eba64f669c7c.html	https://web.archive.org/web/20070220112512id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070227224047	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2291	96dc42201988dda4797a21a624af8dd0d0718c0618ed7bc4ef1f68cc4d7363d6	20070227224047__96dc42201988.html	https://web.archive.org/web/20070227224047id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070307144359	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2291	3fcdc50da911e8ebe43995dbdd55dc889d84aa8036a25932aaf7dd072cfec6ab	20070307144359__3fcdc50da911.html	https://web.archive.org/web/20070307144359id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070315080611	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2291	b59642bd1ff64861144afa8fb6a78fcf3bed0e6cac95f8ad4c82efb11864e373	20070315080611__b59642bd1ff6.html	https://web.archive.org/web/20070315080611id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070323131613	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	1723	5ac5a4ae32f308c761988e8dc89d9fa4f29599638135e83d7cda657cc71b479a	20070323131613__5ac5a4ae32f3.html	https://web.archive.org/web/20070323131613id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070509150022	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	1926	066de84e2578b26f8100fb9e82d16984814f433d395a746a21189c32a45ed3c1	20070509150022__066de84e2578.html	https://web.archive.org/web/20070509150022id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070525170113	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2732	ea0e990672e282769eb5128ff817c726819996b7ff1494195404654a4ea49e29	20070525170113__ea0e990672e2.html	https://web.archive.org/web/20070525170113id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070703063940	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	2856	3b1d0ff0cf8691739c9f55596f60425f47ad87778353d1576d72f2529eb34bec	20070703063940__3b1d0ff0cf86.html	https://web.archive.org/web/20070703063940id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20070819111804	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	1429	6be8721ef1046bdf0ed91c3441da02caf9ceb99fe5df1bbc4b5b6ee242d05d10	20070819111804__6be8721ef104.html	https://web.archive.org/web/20070819111804id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20080214234114	http://www.theroomz.yoyo.pl:80/roomz.htm	text/html	1199	3effb05e5b093ebeffcc1c659d2312261d130b7e258e60458e7d308f206895ca	20080214234114__3effb05e5b09.html	https://web.archive.org/web/20080214234114id_/http://www.theroomz.yoyo.pl:80/roomz.htm
20121106220606	http://www.theroomz.yoyo.pl/roomz.htm	text/html	4437	9d31bf07019eb83c785dbfe55588c3658d67078ee3ebee13b60e8c2935c9ba65	20121106220606__9d31bf07019e.html	https://web.archive.org/web/20121106220606id_/http://www.theroomz.yoyo.pl/roomz.htm
