code	name	count
0	End	1
1	ShowFrame	3
2	Tag2	4
9	Tag9	1
11	Tag11	15
12	DoAction	1
26	Tag26	13
28	Tag28	4
34	Tag34	5
36	Tag36	2
39	DefineSprite	2
43	Tag43	1
69	FileAttributes	1
70	Tag70	3
73	Tag73	1
74	Tag74	15
75	Tag75	1
88	Tag88	1
