code	name	count
0	End	1
1	ShowFrame	3
9	Tag9	1
11	Tag11	3
12	DoAction	3
26	Tag26	4
28	Tag28	1
32	Tag32	1
34	Tag34	1
39	DefineSprite	1
69	FileAttributes	1
73	Tag73	1
74	Tag74	3
75	Tag75	1
88	Tag88	1
