url	error
http://theroomz.yoyo.pl:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.yoyo.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.yoyo.pl:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://theroomz.yoyo.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.yoyo.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://theroomz.yoyo.pl:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://theroomz.yoyo.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl:80/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.yoyo.pl/check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl:80/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.yoyo.pl/Check.swf	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
http://www.theroomz.yoyo.pl:80/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
https://www.theroomz.yoyo.pl/CHECK.SWF	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
