timestamp	page	raw_reference	resolved_url	snapshot
20080317013822	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20080317013822__3effb05e5b09__roomz.htm
20080417074538	http://www.theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20080417074538__3effb05e5b09__roomz.htm
20080417074538	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20080417074538__3effb05e5b09__roomz.htm
20080913191644	http://www.theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20080913191644__3effb05e5b09__roomz.htm
20080913191644	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20080913191644__3effb05e5b09__roomz.htm
20081014060215	http://www.theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20081014060215__3effb05e5b09__roomz.htm
20081014060215	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20081014060215__3effb05e5b09__roomz.htm
20081208234605	http://www.theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20081208234605__3effb05e5b09__roomz.htm
20081208234605	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20081208234605__3effb05e5b09__roomz.htm
20090219182337	http://theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20090219182337__3effb05e5b09__roomz.htm
20090219182337	http://theroomz.yoyo.pl:80/roomz.htm	back.gif	http://theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20090219182337__3effb05e5b09__roomz.htm
20090219182337	http://www.theroomz.yoyo.pl:80/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl:80/Redirect.swf	research/yoyo-roomz-launch-history/20090219182337__3effb05e5b09__roomz.htm
20090219182337	http://www.theroomz.yoyo.pl:80/roomz.htm	back.gif	http://www.theroomz.yoyo.pl:80/back.gif	research/yoyo-roomz-launch-history/20090219182337__3effb05e5b09__roomz.htm
20121106220606	http://www.theroomz.yoyo.pl/roomz.htm	Redirect.swf	http://www.theroomz.yoyo.pl/Redirect.swf	research/yoyo-roomz-launch-history/20121106220606__9d31bf07019e__roomz.htm
20121106220606	http://www.theroomz.yoyo.pl/roomz.htm	back.gif	http://www.theroomz.yoyo.pl/back.gif	research/yoyo-roomz-launch-history/20121106220606__9d31bf07019e__roomz.htm
20121106220606	http://www.theroomz.yoyo.pl/roomz.htm	http://ad.yoyo.pl/advertisements/lib.js	http://ad.yoyo.pl/advertisements/lib.js	research/yoyo-roomz-launch-history/20121106220606__9d31bf07019e__roomz.htm
20121106220606	http://www.theroomz.yoyo.pl/roomz.htm	http://ad.yoyo.pl/img/kill.png	http://ad.yoyo.pl/img/kill.png	research/yoyo-roomz-launch-history/20121106220606__9d31bf07019e__roomz.htm
