discovered_url	timestamp	archived_original	status	mimetype	length	digest
http://ad.yoyo.pl/img/kill.png	20130122204910	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130123200927	http://ad.yoyo.pl/img/kill.png	200	image/png	1032	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130123200930	http://ad.yoyo.pl/img/kill.png	200	image/png	1033	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130124070938	http://ad.yoyo.pl/img/kill.png	200	image/png	1026	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130124214246	http://ad.yoyo.pl/img/kill.png	200	image/png	1028	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130125004956	http://ad.yoyo.pl/img/kill.png	200	image/png	1030	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130125190632	http://ad.yoyo.pl/img/kill.png	200	image/png	1034	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130127211220	http://ad.yoyo.pl/img/kill.png	200	image/png	1030	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130128071023	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130128101452	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130129001646	http://ad.yoyo.pl/img/kill.png	200	image/png	1033	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130129193750	http://ad.yoyo.pl/img/kill.png	200	image/png	1033	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130129210159	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130130111932	http://ad.yoyo.pl/img/kill.png	200	image/png	1029	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130130131537	http://ad.yoyo.pl/img/kill.png	200	image/png	1029	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130131200517	http://ad.yoyo.pl/img/kill.png	200	image/png	1026	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130201184510	http://ad.yoyo.pl/img/kill.png	200	image/png	1026	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130201212259	http://ad.yoyo.pl/img/kill.png	200	image/png	1031	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130203171220	http://ad.yoyo.pl/img/kill.png	200	image/png	1034	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130206005311	http://ad.yoyo.pl/img/kill.png	200	image/png	1030	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130206070853	http://ad.yoyo.pl/img/kill.png	200	image/png	1028	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
http://ad.yoyo.pl/img/kill.png	20130211161207	http://ad.yoyo.pl/img/kill.png	200	image/png	1033	GX4PAUKUYC4UL7MVMMGLLH54XKE7IQUC
