timestamp	original	status	bytes	sha256	saved_file
20070212145101	http://www.theroomz.yoyo.pl:80/roomz.htm	200	1890	326006a09afd8a8fecb00c0dc12ce8e747e6c9ee12c5ee4aea79e9df3789f943	research/yoyo-roomz-launch-history/20070212145101__326006a09afd__roomz.htm
20070220112512	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2254	eba64f669c7cb0ef8d39e5a16eaf544278d8ad47ce0f083707b1b3035f1f01ba	research/yoyo-roomz-launch-history/20070220112512__eba64f669c7c__roomz.htm
20070227224047	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2291	96dc42201988dda4797a21a624af8dd0d0718c0618ed7bc4ef1f68cc4d7363d6	research/yoyo-roomz-launch-history/20070227224047__96dc42201988__roomz.htm
20070307144359	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2291	3fcdc50da911e8ebe43995dbdd55dc889d84aa8036a25932aaf7dd072cfec6ab	research/yoyo-roomz-launch-history/20070307144359__3fcdc50da911__roomz.htm
20070315080611	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2291	b59642bd1ff64861144afa8fb6a78fcf3bed0e6cac95f8ad4c82efb11864e373	research/yoyo-roomz-launch-history/20070315080611__b59642bd1ff6__roomz.htm
20070323131613	http://www.theroomz.yoyo.pl:80/roomz.htm	200	1723	5ac5a4ae32f308c761988e8dc89d9fa4f29599638135e83d7cda657cc71b479a	research/yoyo-roomz-launch-history/20070323131613__5ac5a4ae32f3__roomz.htm
20070408021203	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2461	377d419c1867936d6f26ca77d187ec352650d7adbc21d6e6b8805dc70240c0ed	research/yoyo-roomz-launch-history/20070408021203__377d419c1867__roomz.htm
20070509150022	http://www.theroomz.yoyo.pl:80/roomz.htm	200	1926	066de84e2578b26f8100fb9e82d16984814f433d395a746a21189c32a45ed3c1	research/yoyo-roomz-launch-history/20070509150022__066de84e2578__roomz.htm
20070516084233	http://www.theroomz.yoyo.pl:80/roomz.htm	200	1926	066de84e2578b26f8100fb9e82d16984814f433d395a746a21189c32a45ed3c1	research/yoyo-roomz-launch-history/20070516084233__066de84e2578__roomz.htm
20070525170113	http://www.theroomz.yoyo.pl:80/roomz.htm	200	2732	ea0e990672e282769eb5128ff817c726819996b7ff1494195404654a4ea49e29	research/yoyo-roomz-launch-history/20070525170113__ea0e990672e2__roomz.htm
