topic_id	mapped_title	timestamp	url	context
421	Announcement: [ Poll ] The Roomz 2.0?	20110619154353	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
5	1	20080207153740	http://theroomz.19.forumer.com/viewtopic.php?t=5	
8	Sticky: How to register on the foroom?	20071102143850	http://theroomz.yoyo.pl/logo2.jpg	
8	Sticky: How to register on the foroom?	20071102143850	http://theroomz.yoyo.pl/scr/devilav.jpg	
8	Sticky: How to register on the foroom?	20071102143850	http://www.theroomz.org	
8	Sticky: How to register on the foroom?	20071102143850	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
10	8	20080212112339	http://theroomz.19.forumer.com/viewtopic.php?t=10	
8	Sticky: How to register on the foroom?	20081221132957	http://theroomz.yoyo.pl/scr/angelav.jpg	
8	Sticky: How to register on the foroom?	20081221132957	http://theroomz.19.forumer.com/viewtopic.php?t=8	
98	2	20071102143856	http://theroomz.yoyo.pl/logo2.jpg	
98	2	20071102143856	http://theroomz.yoyo.pl/scr/devilav.jpg	
98	2	20071102143856	http://theroomz.org	
98	2	20071102143856	http://www.theroomz.org	
98	2	20071102143856	http://www.trialpay.com/stores/forumer/adremoval30000?tid=6rGU5Yo&sid=theroomz	
98	2	20080102173521	http://theroomz.yoyo.pl/scr/angelav.jpg	
98	2	20081221133002	http://theroomz.19.forumer.com/viewtopic.php?t=98	
8	Sticky: How to register on the foroom?	20120215135351	http://www.forumer.com/contact.php?abuse=http%3A%2F%2Ftheroomz.19.forumer.com	
98	2	20110618104232	http://www.forumer.com/contact.php?abuse=http%3A%2F%2Ftheroomz.19.forumer.com	
