topic_id	timestamp	original	error
121	20080208154315	http://theroomz.19.forumer.com:80/viewtopic.php?t=121&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
110	20080208154255	http://theroomz.19.forumer.com:80/viewtopic.php?t=110&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
124	20080208154356	http://theroomz.19.forumer.com:80/viewtopic.php?t=124&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
126	20080208154416	http://theroomz.19.forumer.com:80/viewtopic.php?t=126&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
122	20080208154336	http://theroomz.19.forumer.com:80/viewtopic.php?t=122&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
139	20080208154521	http://theroomz.19.forumer.com:80/viewtopic.php?t=139&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
130	20080208154501	http://theroomz.19.forumer.com:80/viewtopic.php?t=130&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
13	20080208154440	http://theroomz.19.forumer.com:80/viewtopic.php?t=13&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
34	20080208155332	http://theroomz.19.forumer.com:80/viewtopic.php?t=34&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
36	20080208155351	http://theroomz.19.forumer.com:80/viewtopic.php?t=36&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
37	20080208155411	http://theroomz.19.forumer.com:80/viewtopic.php?t=37&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('<urlopen error [Errno 111] Connection refused>')
