timestamp	original	filename	classification	bytes	sha256	duplicate_body	saved_file
20150125020014	http://dreamwardgames.com/theroomz/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	10995	55478cbaa7e32dcbfdf90d5766d9d0f8eaaf12969bcfd2057d8c51fda900e51c	NO	research/all-host-swf-inventory/recovered/20150125020014__55478cbaa7e3__RoomzMain.swf
20150125014523	http://dreamwardgames.com/theroomz/UnderTR.swf	UnderTR.swf	UNKNOWN-NAME	23282	6e88693508b8a23edbc8c604035e59e721b19e3ac92c234d289555f57bbcdcf4	NO	research/all-host-swf-inventory/recovered/20150125014523__6e88693508b8__UnderTR.swf
20061209212524	http://theroomz.freehost.pl/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	11147	69d526b7669b32284577b6efb3187be560c577974bb0c9232477341e9c513e41	NO	research/all-host-swf-inventory/recovered/20061209212524__69d526b7669b__RoomzMain.swf
20061026205422	http://theroomz.freehost.pl:80/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	11204	4593da9c40a69d5ecee5cbec994103dbbd3401d1309474dd2a6b72f627e3f97b	NO	research/all-host-swf-inventory/recovered/20061026205422__4593da9c40a6__RoomzMain.swf
20061028171955	http://theroomz.freehost.pl:80/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	11134	9cf314a105199ecd937f5bfe68528c5a29b11a599ddd11b6217d315771cff939	NO	research/all-host-swf-inventory/recovered/20061028171955__9cf314a10519__RoomzMain.swf
20121102214348	http://www.theroomz.yoyo.pl/data.swf	data.swf	KNOWN-NAME	682	91657fb753d5794c5310b25ed9e6d896e67ddb199cff5d8ca7f275410360ae0b	NO	research/all-host-swf-inventory/recovered/20121102214348__91657fb753d5__data.swf
20110930161009	http://www.theroomz.yoyo.pl/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	10995	d7dd1d01587d2857d5bb67cc7b94c0ab6f9fc18b53d66cd81f2b849606ea32e1	NO	research/all-host-swf-inventory/recovered/20110930161009__d7dd1d01587d__RoomzMain.swf
20121102214347	http://www.theroomz.yoyo.pl/RRR.swf	RRR.swf	KNOWN-NAME	17061	c58a2a373bcc3c1cb36b9864b4bf1932f009c8f96a457f9d4d3db3cdc5f8f4f5	NO	research/all-host-swf-inventory/recovered/20121102214347__c58a2a373bcc__RRR.swf
20110930161017	http://www.theroomz.yoyo.pl/UnderTR.swf	UnderTR.swf	UNKNOWN-NAME	23285	161aad66dfee6c219dd9fab2206e8f1f335f4ab1f29875de672057d515c128f3	NO	research/all-host-swf-inventory/recovered/20110930161017__161aad66dfee__UnderTR.swf
20070206062346	http://www.theroomz.yoyo.pl:80/RoomzMain.swf	RoomzMain.swf	KNOWN-NAME	11034	61c728f54f9552744edc19f22b152a7ed89854b45891316957eaeaf763d4add9	NO	research/all-host-swf-inventory/recovered/20070206062346__61c728f54f95__RoomzMain.swf
